date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:56	49840/49840	---M--	200	added ('OK')	image/jpeg	etag:%22c2b0-64c7cc90-c96170dfc1572bc;;;%22	https://demo.graygrids.com/themes/estore/assets/images/header-1/header-min-2.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/header-1/header-min-2.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:57	32451/32451	---M--	200	added ('OK')	image/jpeg	etag:%227ec3-64c7cc8d-e2ab1cb3f9ab108a;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-1.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-1.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:58	33402/33402	---M--	200	added ('OK')	image/jpeg	etag:%22827a-64c7cc8d-3d5dc08eac4e7a5e;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-2.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-2.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:58	4477/4477	---M-Z	200	added ('OK')	image/svg+xml	etag:%22117d-64c7cc96-7fc0cf3f1878fe5e;gz%22	https://demo.graygrids.com/themes/estore/assets/images/icon-svg/cart-7.svg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/icon-svg/cart-7.svg	(from https://demo.graygrids.com/themes/estore/)
15:05:58	31238/31238	---M--	200	added ('OK')	image/jpeg	etag:%227a06-64c7cc8e-9eacd93f2637148b;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-5.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-5.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:58	22694/22694	---M--	200	added ('OK')	image/jpeg	etag:%2258a6-64c7cc8e-e89327a7746dea17;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-6.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-6.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:59	27331/27331	---M--	200	added ('OK')	image/jpeg	etag:%226ac3-64c7cc8d-b1a9d3c1815f2ed4;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-3.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-3.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:59	41993/41993	---M--	200	added ('OK')	image/jpeg	etag:%22a409-64c7cc8e-4c6edb7a59d9bffe;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-4.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-4.jpg	(from https://demo.graygrids.com/themes/estore/)
15:05:59	47127/47127	---M--	200	added ('OK')	image/jpeg	etag:%22b817-64c7cc8e-92d0357484f30c76;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-7.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-7.jpg	(from https://demo.graygrids.com/themes/estore/)
15:06:00	38598/38598	---M--	200	added ('OK')	image/jpeg	etag:%2296c6-64c7cc8f-ecb26b32ae12e7f0;;;%22	https://demo.graygrids.com/themes/estore/assets/images/product-1/product-8.jpg	C:/My%20Web%20Sites/E%20STORE1/demo.graygrids.com/themes/estore/assets/images/product-1/product-8.jpg	(from https://demo.graygrids.com/themes/estore/)
